14 2 13
36 4 35
41 5 46
63 1 62
156 2 151
156 14 165
162 2 6444
162 14 6443
162 156 6431
165 2 160
312 4 313
312 36 321
321 4 320
324 4 2666
324 36 2665
324 312 2653
423 5 424
423 41 432
432 5 430
435 5 3111
435 41 3116
435 423 3164
645 1 646
645 63 654
651 1 5333
651 63 5332
651 645 5326
654 1 650
2002 4 2003
2016 4 2015
2016 36 2002
2016 312 2031
2016 324 2255
2031 4 2030
2031 36 2034
2034 4 2256
2255 4 2322
2255 36 2323
2255 312 14660
2323 4 14661
2640 4 2644
2653 4 2641
2653 36 2640
2665 4 2652
3003 5 3004
3021 5 3026
3021 41 3003
3021 423 3042
3021 435 3366
3042 5 3040
3042 41 3045
3045 5 3361
3116 5 3163
3150 5 3155
3164 5 3152
3164 41 3150
3366 5 3433
3366 41 3434
3366 423 25110
3434 5 25112
5005 1 5006
5043 1 5042
5043 63 5005
5043 645 5064
5043 651 5522
5061 1 5523
5064 1 5060
5064 63 5061
5310 1 5311
5326 1 5314
5326 63 5310
5332 1 5325
5522 1 5655
5522 63 5656
5522 645 41330
5656 1 41334
6006 2 6001
6012 2 6634
6015 2 6010
6015 14 6012
6054 2 6053
6054 14 6006
6054 156 6015
6054 162 6633
6161 2 52445
6420 2 6422
6431 2 6425
6431 14 6420
6443 2 6436
6633 2 6166
6633 14 6161
6633 156 52440
13013 4 13021
13020 4 13024
13020 36 13266
13020 312 13252
13241 4 13240
13244 4 156616
13244 36 156615
13244 312 156603
13244 324 156156
13244 2016 156205
13244 14642 151263
13252 4 13253
13252 36 13241
13266 4 13265
13601 4 13600
13601 36 13604
13601 312 13635
13601 324 13020
13604 4 13636
13635 4 13012
13635 36 13013
13662 4 13663
14011 4 14010
14014 4 14026
14014 36 14025
14025 4 14032
14033 4 14251
14033 36 14250
14033 312 14246
14246 4 14245
14246 36 13662
14250 4 14254
14606 4 14605
14642 4 14643
14642 36 14011
14642 312 14014
14642 324 14033
14642 2016 13601
14660 4 14664
14660 36 14606
24024 5 24032
24030 5 24035
24030 41 24311
24030 423 24363
24102 5 24100
24102 41 24105
24102 423 24146
24102 435 24030
24105 5 24141
24113 5 24114
24146 5 24023
24146 41 24024
24311 5 24316
24352 5 24350
24355 5 261121
24355 41 261126
24355 423 261104
24355 435 261261
24355 3021 261306
24355 25153 262314
24363 5 24364
24363 41 24352
25022 5 25020
25025 5 25031
25025 41 25036
25036 5 25043
25044 5 25362
25044 41 25360
25044 423 25351
25101 5 25106
25110 5 25115
25110 41 25101
25153 5 25154
25153 41 25022
25153 423 25025
25153 435 25044
25153 3021 24102
25351 5 25356
25351 41 24113
25360 5 25365
41041 1 41053
41041 63 41052
41044 1 41040
41052 1 41065
41066 1 41524
41066 63 41520
41066 645 41513
41303 1 41302
41315 1 41316
41315 63 41044
41315 645 41041
41315 651 41066
41315 5043 46304
41330 1 41331
41330 63 41303
41513 1 41512
41513 63 46335
41520 1 41521
46046 1 46054
46050 1 46051
46050 63 46533
46050 645 46525
46301 1 46363
46304 1 46300
46304 63 46301
46304 645 46362
46304 651 46050
46335 1 46336
46362 1 46045
46362 63 46046
46511 1 423343
46511 63 423342
46511 645 423306
46511 651 423423
46511 5043 423502
46511 41315 424536
46514 1 46510
46525 1 46526
46525 63 46514
46533 1 46532
51051 2 51065
51060 2 51062
51060 14 51644
51060 156 51636
51402 2 51414
51405 2 51400
51405 14 51402
51405 156 51413
51405 162 51060
51413 2 51056
51413 14 51051
51446 2 51441
51622 2 534454
51622 14 534453
51622 156 534401
51622 162 534534
51622 6054 534603
51622 52426 535641
51625 2 51620
51636 2 51631
51636 14 51625
51644 2 51643
52011 2 52635
52011 14 52630
52011 156 52624
52052 2 52064
52052 14 52063
52055 2 52050
52063 2 52016
52404 2 52403
52426 2 52421
52426 14 52055
52426 156 52052
52426 162 52011
52426 6054 51405
52440 2 52442
52440 14 52404
52624 2 52623
52624 14 51446
52630 2 52632
151145 4 151262
151151 4 151150
151154 4 151146
151154 36 151145
151200 4 151204
151236 4 151235
151236 36 165612
151263 4 151201
151263 36 151200
151263 312 151236
151263 324 165621
151263 2016 165140
151610 4 151614
151610 36 151626
151626 4 151625
151632 4 151633
151632 36 151151
151632 312 151154
156022 4 156023
156156 4 156155
156156 36 156022
156156 312 156261
156205 4 156242
156205 36 156243
156205 312 151610
156205 324 151632
156243 4 151611
156261 4 156260
156261 36 156264
156264 4 156206
156603 4 156631
156603 36 156630
156615 4 156602
156630 4 156634
160106 4 160105
160106 36 160142
160106 312 160211
160106 324 160225
160106 2016 162162
160106 13244 6442545
160106 14642 6445441
160142 4 160143
160160 4 160164
160211 4 160210
160211 36 160214
160214 4 160226
160225 4 160232
160225 36 160233
160225 312 161450
160233 4 161451
160623 4 160161
160623 36 160160
161446 4 161445
161450 4 161454
161450 36 161446
162101 4 162100
162104 4 162136
162104 36 162135
162135 4 162212
162162 4 162163
162162 36 162101
162162 312 162104
162162 324 162213
162213 4 162221
162213 36 162220
162213 312 6445466
162220 4 162224
